frame_idx,x,y,z,yaw,pitch,roll,reprojection_error,process_time,avg_center_x,avg_center_y
0,619.93,-1249.10,9189.44,1.50,-5.91,175.38,0.66,0.6694,-1000000.00,-1000000.00
1,624.42,-1252.63,9249.92,5.01,-5.62,175.30,0.61,0.0246,-1000000.00,-1000000.00
2,632.23,-1263.10,9359.74,8.26,-1.43,175.47,0.54,0.0225,-1000000.00,-1000000.00
3,631.94,-1261.36,9328.98,8.28,-1.57,175.47,0.62,0.0207,-1000000.00,-1000000.00
4,633.31,-1264.62,9334.88,5.80,-2.01,175.43,0.61,0.0249,-1000000.00,-1000000.00
5,625.40,-1250.77,9257.63,-1.34,0.00,175.97,0.34,0.0217,-1000000.00,-1000000.00
6,627.38,-1259.37,9310.49,3.05,-2.81,175.25,0.56,0.0226,-1000000.00,-1000000.00
7,627.38,-1259.37,9310.49,3.05,-2.81,175.25,0.56,0.0276,-1000000.00,-1000000.00
8,614.55,-1235.49,9164.23,1.67,-3.41,175.85,0.44,0.0240,-1000000.00,-1000000.00
9,614.51,-1239.52,9149.94,-0.77,-1.87,176.01,0.54,0.0245,-1000000.00,-1000000.00
10,606.18,-1226.26,9066.56,-3.17,-6.00,175.67,0.36,0.0252,-1000000.00,-1000000.00
11,607.77,-1221.97,9058.58,0.78,-7.11,175.31,0.32,0.0266,-1000000.00,-1000000.00
12,604.18,-1220.56,9030.68,-1.09,-7.34,176.00,0.45,0.0286,-1000000.00,-1000000.00
13,599.81,-1211.80,8954.67,-4.19,-7.00,176.08,0.50,0.0290,-1000000.00,-1000000.00
14,594.18,-1206.18,8909.37,-4.32,-7.91,176.24,0.43,0.0263,-1000000.00,-1000000.00
15,591.93,-1200.73,8880.88,-4.24,-8.34,175.93,0.61,0.0276,-1000000.00,-1000000.00
16,584.94,-1189.58,8787.23,-5.12,-10.32,176.29,0.49,0.0230,-1000000.00,-1000000.00
17,591.25,-1176.78,8828.53,6.06,22.99,177.38,0.23,0.0245,-1000000.00,-1000000.00
18,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0239,-1000000.00,-1000000.00
19,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0212,-1000000.00,-1000000.00
20,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0202,-1000000.00,-1000000.00
21,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0239,-1000000.00,-1000000.00
22,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0210,-1000000.00,-1000000.00
23,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0227,-1000000.00,-1000000.00
24,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0218,586.50,231.00
25,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0215,587.00,231.00
26,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0188,587.00,231.00
27,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0221,586.50,231.50
28,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0203,586.50,231.50
29,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0199,586.50,231.50
30,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0230,586.50,231.50
31,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0248,586.50,231.50
32,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0231,586.50,231.50
33,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0211,586.50,231.00
34,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0191,586.50,231.00
35,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0205,586.50,231.50
36,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0211,586.00,231.00
37,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0188,586.00,230.50
38,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0208,586.00,230.50
39,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0264,586.00,230.50
40,591.25,-1176.78,8828.53,6.06,22.99,177.38,inf,0.0252,586.00,230.00
